tic,conm,fyear,revt,ni,at,lt,act,lct,seq,year,profit_margin,roe,roa,debt_asset,current_ratio,revt_growth
AAPL,APPLE INC,2015,233715.0,53394.0,290479.0,171124.0,89378.0,80610.0,119355.0,2015,22.845773698735638,44.735453060198566,18.381363196651048,58.91097118896719,1.1087706239920605,
AAPL,APPLE INC,2016,215091.0,45687.0,321686.0,193437.0,106869.0,79006.0,128249.0,2016,21.240777159434842,35.62366958026963,14.202358821956814,60.13224075651412,1.352669417512594,-7.968679802323342
AAPL,APPLE INC,2017,229234.0,48351.0,375319.0,241272.0,128645.0,100814.0,134047.0,2017,21.09242084507534,36.07018433832909,12.882641166580964,64.28451530564666,1.2760628484139107,6.5753564770260065
AAPL,APPLE INC,2018,265359.0,59531.0,365725.0,258578.0,131339.0,116866.0,107147.0,2018,22.43413639635362,55.56011834209077,16.277530931710984,70.70285050242668,1.1238426916297297,15.759006081122351
AAPL,APPLE INC,2019,260174.0,55256.0,338516.0,248028.0,162819.0,105718.0,90488.0,2019,21.238094505984456,61.06445053487756,16.323009842961632,73.2692103179761,1.540125617208044,-1.9539567152423665
AAPL,APPLE INC,2020,274515.0,57411.0,323888.0,258549.0,143713.0,105392.0,65339.0,2020,20.913611278072235,87.86635853012748,17.72557180259843,79.82666847799238,1.3636044481554577,5.512080376978479
AAPL,APPLE INC,2021,365817.0,94680.0,351002.0,287912.0,134836.0,125481.0,63090.0,2021,25.88179335569424,150.07132667617688,26.974205275183614,82.02574344305731,1.0745531195957954,33.259384733074704
AAPL,APPLE INC,2022,394328.0,99803.0,352755.0,302083.0,135405.0,153982.0,50672.0,2022,25.309640705199733,196.95887275023682,28.292440929256852,85.63535598361469,0.8793560286267226,7.79378760418461
AAPL,APPLE INC,2023,383285.0,96995.0,352583.0,290437.0,143566.0,145308.0,62146.0,2023,25.30623426432028,156.07601454639075,27.509834563776476,82.37407929480435,0.9880116717592975,-2.800460530319937
AMZN,AMAZON.COM INC,2015,107006.0,596.0,65444.0,52060.0,36474.0,33899.0,13384.0,2015,0.55697811337682,4.453078302450687,0.9107022798117475,79.54892732718048,1.0759609428006727,
AMZN,AMAZON.COM INC,2016,135987.0,2371.0,83402.0,64117.0,45781.0,43816.0,19285.0,2016,1.7435490157147373,12.294529427015815,2.842857485432004,76.87705330807415,1.044846631367537,27.083528026465807
AMZN,AMAZON.COM INC,2017,177866.0,3033.0,131310.0,103601.0,60197.0,57883.0,27709.0,2017,1.705216286417865,10.945902053484428,2.309801233721727,78.8980275683497,1.039977195376881,30.79632611940848
AMZN,AMAZON.COM INC,2018,232887.0,10073.0,162648.0,119099.0,75101.0,68391.0,43549.0,2018,4.3252736305590265,23.1302670555007,6.193128719689145,73.2250012296493,1.098112324721089,30.93396152159491
AMZN,AMAZON.COM INC,2019,280522.0,11588.0,225248.0,163188.0,96334.0,87812.0,62060.0,2019,4.130870306072251,18.67225265871737,5.144551782923711,72.44814604347208,1.0970482394205803,20.454125820676982
AMZN,AMAZON.COM INC,2020,386064.0,21331.0,321195.0,227791.0,132733.0,126385.0,93404.0,2020,5.525249699531684,22.837351719412442,6.641137004000686,70.91984619934931,1.0502274795268425,37.623430604373276
AMZN,AMAZON.COM INC,2021,469822.0,33364.0,420549.0,282304.0,161580.0,142266.0,138245.0,2021,7.101412875514557,24.13396506202756,7.933439385184604,67.127492872412,1.1357597739445826,21.695366571345676
AMZN,AMAZON.COM INC,2022,513983.0,-2722.0,462675.0,316632.0,146791.0,155393.0,146043.0,2022,-0.5295895000418301,-1.8638346240490815,-0.5883179337547955,68.43507861890096,0.9446435811136924,9.399517263985091
AMZN,AMAZON.COM INC,2023,574785.0,30425.0,527854.0,325979.0,172351.0,164917.0,201875.0,2023,5.293283575597832,15.071207430340557,5.763904412962676,61.755523307581264,1.0450772206625152,11.82957412988368
GOOGL,ALPHABET INC,2015,74989.0,16348.0,147461.0,27130.0,90114.0,19310.0,120331.0,2015,21.800530744509196,13.585859005576287,11.086321128976476,18.39808491736798,4.666701191092698,
GOOGL,ALPHABET INC,2016,90272.0,19478.0,167497.0,28461.0,105408.0,16756.0,139036.0,2016,21.57701169797944,14.0093213268506,11.628864994596919,16.991946124408198,6.290761518262115,20.380322447292265
GOOGL,ALPHABET INC,2017,110855.0,12662.0,197295.0,44793.0,124308.0,24183.0,152502.0,2017,11.422128005051645,8.302841929941902,6.417800755214273,22.70356572645024,5.140305173055452,22.801090038993266
GOOGL,ALPHABET INC,2018,136819.0,30736.0,232792.0,55164.0,135676.0,34620.0,177628.0,2018,22.464716157843576,17.303578264688,13.203202859204783,23.69669060792467,3.919006354708261,23.421586757475986
GOOGL,ALPHABET INC,2019,161857.0,34343.0,275909.0,74467.0,152578.0,45221.0,201442.0,2019,21.21811228430034,17.048579740074064,12.44721991671167,26.989695877988755,3.374051878552,18.300089899794614
GOOGL,ALPHABET INC,2020,182527.0,40269.0,319616.0,97072.0,174296.0,56834.0,222544.0,2020,22.061941520980458,18.09484865914156,12.599181517821387,30.371445734881856,3.0667558151810534,12.770532012826141
GOOGL,ALPHABET INC,2021,257637.0,76033.0,359268.0,107633.0,188143.0,64254.0,251635.0,2021,29.511677282377917,30.215590041131,21.163309841121393,29.95897213222441,2.928113424845146,41.15007642704916
GOOGL,ALPHABET INC,2022,282836.0,59972.0,365264.0,109120.0,164795.0,69300.0,256144.0,2022,21.203807153261963,23.41339246673746,16.418809409084936,29.874282710587412,2.377994227994228,9.78081564371578
GOOGL,ALPHABET INC,2023,307394.0,73795.0,402392.0,119013.0,171530.0,81814.0,281079.0,2023,24.006649446638516,26.25418476656029,18.33908228791825,29.576383228294794,2.096584936563424,8.68277022726951
META,META PLATFORMS INC,2015,17928.0,3688.0,49407.0,5189.0,21652.0,1925.0,44218.0,2015,20.57117358322178,8.340494821113573,7.464529317708017,10.502560365940049,11.247792207792207,
META,META PLATFORMS INC,2016,27638.0,10217.0,64961.0,5767.0,34401.0,2875.0,59194.0,2016,36.967219046240686,17.260195290063184,15.727898277427995,8.877634272871415,11.965565217391305,54.16108879964301
META,META PLATFORMS INC,2017,40653.0,15934.0,84524.0,10177.0,48563.0,3760.0,74347.0,2017,39.195139350109464,21.43193403903318,18.85145047560456,12.04036723297525,12.915691489361702,47.09096171937188
META,META PLATFORMS INC,2018,55838.0,22112.0,97334.0,13207.0,50480.0,7017.0,84127.0,2018,39.60027221605358,26.284070512439527,22.71765261881768,13.568742679844659,7.193957531708707,37.352716896661995
META,META PLATFORMS INC,2019,70697.0,18485.0,133376.0,32322.0,66225.0,15053.0,101054.0,2019,26.14679547929898,18.292200209788824,13.859315019193858,24.23374520153551,4.399455258088088,26.610910132884413
META,META PLATFORMS INC,2020,85965.0,29146.0,159316.0,31026.0,75670.0,14981.0,128290.0,2020,33.90449601582039,22.718840127835374,18.294458811418814,19.474503502473073,5.051064681930446,21.596390228722573
META,META PLATFORMS INC,2021,117929.0,39370.0,165987.0,41108.0,66666.0,21135.0,124879.0,2021,33.38449405998525,31.526517669103693,23.718724960388464,24.765794911649706,3.154293825408091,37.182574303495606
META,META PLATFORMS INC,2022,116609.0,23200.0,185727.0,60014.0,59549.0,27026.0,125713.0,2022,19.895548371051976,18.454734196145186,12.491452508251358,32.31301857026711,2.203396729075705,-1.1193175554782941
META,META PLATFORMS INC,2023,134902.0,39098.0,229623.0,76455.0,85365.0,31960.0,153168.0,2023,28.982520644616095,25.526219575890526,17.02703997421861,33.29588063913459,2.6709949937421777,15.687468377226455
MSFT,MICROSOFT CORP,2015,93580.0,12193.0,176223.0,96140.0,124712.0,49858.0,80083.0,2015,13.029493481513143,15.225453591898406,6.919074127667785,54.555875226275795,2.501343816438686,
MSFT,MICROSOFT CORP,2016,85320.0,16798.0,193694.0,121697.0,139660.0,59357.0,71997.0,2016,19.688232536333803,23.331527702543163,8.67244209939389,62.82951459518622,2.3528817157201343,-8.826672365890143
MSFT,MICROSOFT CORP,2017,89950.0,21204.0,241086.0,168692.0,159851.0,64527.0,72394.0,2017,23.573096164535855,29.28972014255325,8.79520171225206,69.97171133952199,2.4772730794861064,5.426629160806384
MSFT,MICROSOFT CORP,2018,110360.0,16571.0,258848.0,176130.0,169662.0,58488.0,82718.0,2018,15.01540413193186,20.033124591987235,6.4018265545802935,68.04379404129064,2.900800164136233,22.690383546414683
MSFT,MICROSOFT CORP,2019,125843.0,39240.0,286556.0,184226.0,175552.0,69420.0,102330.0,2019,31.181710544090652,38.34652594547054,13.693658482111697,64.28970253632798,2.5288389513108616,14.029539688292857
MSFT,MICROSOFT CORP,2020,143015.0,44281.0,301311.0,183007.0,181915.0,72310.0,118304.0,2020,30.962486452470024,37.4298417635921,14.696111326835066,60.73691302342098,2.5157654542940118,13.645574247276372
MSFT,MICROSOFT CORP,2021,168088.0,61271.0,333779.0,191791.0,184406.0,88657.0,141988.0,2021,36.451739564989765,43.152238217314135,18.356757015869782,57.46047534446445,2.0799936835218875,17.5317274411775
